USA_bourgeois_dictatorship;Estados Unidos;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_bourgeois_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_fascist_dictatorship;Estados Unidos;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_fascist_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
REMOVE_USA_prussian_constitutionalism;Estados Unidos;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_prussian_constitutionalism;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_democracy;Estados Unidos;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_democracy;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
CAL_absolute_monarchy;Reino da Califórnia;Royaume de Californie;Kingdom of California;;Reino de California;;;;;;;;x;
CAL_hms_government;Reino da Califórnia;Royaume de Californie;Kingdom of California;;Reino de California;;;;;;;;x;
DOM_absolute_monarchy;Santo Domingo;Santo Domingo;Santo Domingo;;Santo Domingo;;;;;;;;x;
DOM_hms_government;Santo Domingo;Santo Domingo;Santo Domingo;;Santo Domingo;;;;;;;;x;
ENG_democracy;Grã Bretanha;Grande-Bretagne;Großbritannien;;Gran Bretaña;;;;;;;;x;
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;Valor base mensal de Liderança: §Y$VALUE$§W;Valeur de base mensuelle de Commandement  : §Y$VALUE$§W;Monatliche Basis-Anführerpunkte: §Y$VALUE$§W;;Liderazgo básico mensual: §Y$VALUE$§W;;;;;;;;x;
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;Liderança mensal: §G+$VALUE$§W;Valeur mensuelle de Commandement : §G+$VALUE$§W;Monatliche Anführerpunkte: §G+$VALUE$§W;;Liderazgo mensual: §G+$VALUE$§W;;;;;;;;x;
TECH_DAILY_LEADERSHIP_TOOLTIP;$POPTYPE$ fornece §G$VALUE$§W de liderança.\n (§Y$FRACTION$%§W da população, $OPTIMAL$% é ótimo.);§Y$POPTYPE$§W donnent §G$VALUE$§W de valeur de Commandement.\n(§Y$FRACTION$ %§W de la population, $OPTIMAL$ % est optimal);$POPTYPE$ erbringen §G$VALUE$§W Anführerpunkte.\n(§Y$FRACTION$%§W der Bevölkerung, $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W de liderazgo.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x;
MODIFIER_CORE_POP_MILITANCY_MODIFIER;Militância de estados não coloniais;Militantisme des États non coloniaux;Militanz in Nicht-Koloniestaat;;Militancia en provincias no coloniales;;;;;;;;x;
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;Consciência dos Estados Não-Coloniais;Conscience nationale des États non coloniaux;Bewusstsein in Nicht-Koloniestaat;;Conciencia en provincias no coloniales;;;;;;;;x;
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;Militância para Não Aceito;Militantisme des cultures non acceptées;Militanz für nicht akzeptierte Kulturen;;Militancia de culturas no aceptadas;;;;;;;;x;
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;Consciência para Não Aceito;Conscience nationale des cultures non acceptées;Bewusstsein für nicht akzeptierte Kulturen;;Conciencia de culturas no aceptadas;;;;;;;;x;
AUS_734;Tirol do Sul;Tyrol du Sud;Südtirol;;Tirol Meridional;;;;;;;;x;
EVTNAME23212;Cometa avistado;Comète aperçue;Komet gesichtet;;Cometa avistado;;;;;;;;x;
EVTDESC23212;Um cometa foi visto no céu, o que, segundo alguns, dificulta os tempos. Outros acreditam que eles são realmente fadas flutuando no céu. Depois, há aqueles que pensam que este cometa é, presumivelmente, uma bola de gelo gigante que cruza o céu e cuja cauda longa é o resultado da energia solar. As discussões relacionadas a essas três teorias viáveis estimulam a sede de conhecimento do nosso país.;Une comète a été aperçue dans le ciel, ce qui selon certains augure de temps difficiles. D'autres croient qu'il s'agit en fait de fées qui flottent dans le ciel. Puis, il y a ceux qui pensent que cette comète est, vraisemblablement, une boule de glace géante qui traverse le ciel et dont la longue queue résulte de l'énergie solaire. Les discussions liées à ces trois théories viables stimulent la soif de connaissance de notre pays.;Am Nachthimmel wurde ein Komet gesichtet, und manche sehen darin ein Omen für die Zukunft. Andere dagegen glauben, dass Kometen Feen sind, die am Himmel schweben, aber es gibt auch solche, die einen Komet für nichts als einen riesigen Eisball halten, der durch den Himmel zieht, und dessen langer Schweif von der Sonnenenergie erzeugt wird. Die Argumente dieser drei Denkansätze stimulieren in unserem Land das Streben nach Wissen.;;Han avistado un cometa en el cielo y algunos aseguran que esto presagia malos tiempos. Otros creen que se trata de la acción de las hadas y los duendes que viven en el cielo. E incluso hay algunos que piensan que el cometa podría ser una bola de hielo gigantesca que flota por el cielo, seguido por una larga cola creada por la energía del sol. Las discusiones entre estas tres teorías igualmente plausibles están estimulando la búsqueda del conocimiento en nuestro país.;;;;;;;;x;
EVTOPTA23212;Graças a Deus nós vivemos em tempos tão iluminados;Dieu merci, nous vivons une période des plus éclairées.;Gott sei Dank leben wir in solch aufgeklärten Zeiten!;;Demos gracias a Dios por vivir en estos tiempos de iluminación;;;;;;;;x  ;
EVTNAME60140;Convenção Constitucional;Convention constitutionnelle;Konstitutionelle Verfassung;;Convención constitucional;;;;;;;;x  ;
EVTDESC60140;Com os liberais firmemente no controle de nosso país, eles sentem que agora é a hora de uma convenção constitucional. Todos os pontos de vista, bem, pelo menos, todos que realmente importam, serão representados neste novo encontro para moldar o caminho da nossa nação.;Alors que les libéraux tiennent les rênes de notre pays, ils estiment le moment venu pour une convention constitutionnelle. Les vues de chacun, du moins de tous ceux qui importent vraiment, seront représentées dans cette nouvelle assemblée afin de forger la voie de nos nations.;Die Liberalen haben unser Land fest im Griff, und sie glauben, dass es jetzt an der Zeit für eine konstitutionelle Verfassung ist. In dieser neuen Verfassung, die den zukünftigen Weg unserer Nation eben wird, werden die Meinungen aller repräsentiert sein, zumindest jener, auf deren Meinung es wirklich ankommt.;;Los liberales, con un firme control sobre el país, creen que ha llegado el momento de organizar una convención constitucional. Todo el mundo (al menos todo el mundo que cuenta) estará representado en esta gran asamblea que dará forma al futuro de nuestro país.;;;;;;;;x  ;
EVTOPTA60140;Caso contrário, as pessoas explorariam a situação.;Sinon, les gens exploiteraient la situation.;Ansonsten würde das Volk die Situation ausnutzen.;;De lo contrario, alguien podría tratar de aprovecharse de la situación.;;;;;;;;x  ;
become_guatemala_title;Tornar-se Guatemala;Devient le Guatemala;Werden Sie Guatemala;;Convertirse en Guatemala;;;;;;;;x  ;
BUDGET_STOCKPILE_YESTERDAYS;Compras de ontem para o estoque:;Achats d'hier pour les réserves :;Gestrige Vorratskäufe: ;;Adquisiciones de ayer para la reserva nacional:;;;;;;;;x;
become_guatemala_desc;O sonho de uma América Central unida se despedaçou. As outras províncias estavam preocupadas demais com a possível dominação da Guatemala para entender os sacrifícios feitos para preservar a união. Bem, é isso. Nós terminamos com eles. A Guatemala encontrará seu próprio destino.;Le rêve d'une Amérique centrale unie a volé en éclats. Les autres provinces étaient trop inquiètes par une éventuelle domination du Guatemala pour comprendre les sacrifices concédés pour préserver l'union. Eh bien, voilà. On a en fini avec elles. Le Guatemala trouvera son propre destin.;Der Traum eines vereinigten Zentralamerikas ist tot. Die anderen Provinzen waren zu sehr mit der Dominanz Guatemalas beschäftigt, um sich der Opfer gewahr zu werden, die wir zur Beibehaltung der Union gebracht hatten. Jetzt ist es genug. Wir sind fertig mit ihnen. Guatemala wird seine eigenes Schicksal schmieden.;;El sueño de una América Central unida ha muerto. A las demás naciones les preocupaba demasiado la posición dominante de Guatemala como para comprender los sacrificios que hemos tenido que hacer para mantener la unión con vida. Pues se acabó. Que se vayan al Infierno. Guatemala buscará su propio camino.;;;;;;;;x  ;
MOR_1683;Taza;Taza;Taza;;Taza;;;;;;;;x;
LAG_PAUSE;$PLAYER$ está atrasado, parando o jogo.;$PLAYER$ est à la traîne, partie en pause.;$PLAYER$ hat Verbindungsprob., Spiel wird pausiert.;;$PLAYER$ está sufriendo lag, juego en pausa;;;;;;;;x;
LAG_DECREASE_SPEED;$PLAYER$ está atrasado, diminuindo a velocidade.;$PLAYER$ est à la traîne, ralentissement.;$PLAYER$ hat Verbindungsprobl., Spielgeschw. wird reduziert.;;$PLAYER$ está sufriendo lag, velocidad reducida;;;;;;;;x;
PAUSED_BY;§Y$PLAYER$§W pausou o jogo.;§Y$PLAYER$§W a mis la partie en pause.;§Y$PLAYER$§W pausiert das Spiel.;;§Y$PLAYER$§W ha puesto el juego en pausa.;;;;;;;;x;
WARGOAL_OTHER_ACCEPT_SETUP;Quando uma nação adiciona um objetivo de guerra em uma guerra.;Si une nation ajoute un objectif de guerre.;Wenn eine Nation in einem Krieg ein Kriegsziel hinzufügt.;;Cuando un país añade un objetivo bélico en una guerra;;;;;;;;x;
WARGOAL_THEY_ACCEPT_SETUP;Quando adicionamos um objetivo de guerra contra outra nação.;Si nous ajoutons un objectif de guerre contre une autre nation.;Wenn wir ein Kriegsziel gegen eine andere Nation hinzufügen.;;Cuando añadimos un objetivo bélico contra otro país;;;;;;;;x;
WARGOAL_WE_ACCEPT_SETUP;Quando uma nação adiciona um objetivo de guerra contra nós...;Si une nation ajoute un objectif de guerre contre nous.;Wenn eine Nation ein Kriegsziel gegen uns hinzufügt.;;Cuando otro país añade un objetivo bélico contra nosotros;;;;;;;;x;
status_quo_setup;Tudo o que pedimos é para sermos deixado em paz;Nous demandons juste à ce qu'on nous laisse tranquilles.;Wir wollen nur in Ruhe gelassen werden.;;Lo único que pedimos es que nos dejen en paz;;;;;;;;x;
PROV3041;Revolta da Argentina;Soulèvement de l'Argentine;Argentinisches Seegebirge;;Falla de Argentina;;;;;;;;;x
TUR_819;Macedônia Ocidental;Macédoine de l'Ouest;Westmazedonien;;Macedonia Occidental;;;;;;;;;x
TUR_806;Macedônia do Norte;Macédoine du Nord;Nordmazedonien;;Macedonia Septentrional;;;;;;;;;x
GUNBOAT_OTHER_ACCEPT_LOG;$ACTOR$ está usando canhoneiras para forçar o(a) $RECIPIENT$ a pagar suas dívidas!;$ACTOR$ utilise des canonnières pour obliger $RECIPIENT$ à rembourser sa dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um $RECIPIENT$ zur Rückzahlung der Schulden zu zwingen!;;¡$ACTOR$ está usando sus cañoneras para obligar a $RECIPIENT$ a pagar sus deudas!;;;;;;;;;x
GUNBOAT_THEY_ACCEPT_LOG;Estamos usando canhoneiras para forçar o(a) $RECIPIENT$ a pagar suas dívidas!;Nous utilisons des canonnières pour obliger $RECIPIENT$ à rembourser sa dette !;Wir setzen Kanonenbootpolitik ein, um $RECIPIENT$ zur Rückzahlung der Schulden zu zwingen!;;¡Estamos usando nuestras cañoneras para obligar a $RECIPIENT$ a pagar sus deudas!;;;;;;;;;x
GUNBOAT_WE_ACCEPT_LOG;$ACTOR$ está usando canhoneiras para nos forçar a pagar nossa dívida!;$ACTOR$ utilise des canonnières pour nous obliger à rembourser notre dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um uns zur Rückzahlung unserer Schulden zu zwingen!;;¡$ACTOR$ está usando sus cañoneras para obligarnos a pagar nuestras deudas!;;;;;;;;;x
