WAR_WE_ACCEPT_2;$MONARCHTITLE$, $BADWORD$ do(a);$MONARCHTITLE$, $BADWORD$ de;$MONARCHTITLE$;$BADWORD$ z;$MONARCHTITLE$, $BADWORD$ en;$MONARCHTITLE$, $BADWORD$ di;Vezérünk, ;$MONARCHTITLE$, $BADWORD$ v;;;;;;x;
WAR_WE_ACCEPT_3;$AGRESSOR$ declarou guerra;$AGRESSOR$ nous ont déclaré la;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiadaj¹ nam wojnê!;$AGRESSOR$ ha declarado la guerra;$AGRESSOR$ ci hanno dichiarato;$AGRESSOR$ nemzete hadat üzent nekünk!;$AGRESSOR$ vyhlásil válku;;;;;;x,,,,,,;
WAR_WE_ACCEPT_4;contra nós! Prepare-se para a batalha...;Guerre !\nPréparons-nous au combat...;Bereiten Sie sich auf den Kampf vor ...;Gotujmy siê do bitwy...;contra nosotros! Preparad la batalla...;guerra! Preparati a combattere...;Fel kell készülnünk a háborúra…;nám! Pøipravte se na boj...;;;;;;x,,,,,,;
WAR_WE_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_LOG;$AGRESSOR$ declarou guerra a nós!;$AGRESSOR$ nous a déclaré la guerre !;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiada nam wojnê!;¡$AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ci ha dichiarato guerra!;$AGRESSOR$ hadat üzent nekünk!;$AGRESSOR$ nám vyhlásil válku!;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
WAR_WE_ACCEPT_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
WAR_WE_ACCEPT_BTN3;Ir para;Voir;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x,,,,,,;
WAR_WE_ACCEPT_MAP;GUERRA!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_SETUP;Quando uma nação declara guerra a outra nação;Si une nation déclare la guerre à une autre;Wenn ein Land einem anderen Land den Krieg erklärt;Kiedy jakiœ kraj wypowiada wojnê innemu pañstwu;Cuando una nación declare la guerra a otra nación;Quando una nazione dichiara guerra a un'altra nazione;Mikor egy nemzet hadat üzen egy másik nemzetnek;Když národ vyhlásí válku jinému národu;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_HEADER;O ministro das Relações Exteriores informa;Le ministre des Affaires étrangères indique :;Der Außenminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_1;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_2;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $BADWORD$;Vezérünk, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;;;;;;x;
WAR_OTHER_ACCEPT_3;declarou guerra;a déclaré la guerre;hat ihrem neuen Feind;wypowiedzia³ wojnê.;ha declarado la guerra;hanno dichiarato guerra;hadat üzent;vyhlásil válku;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_4;a seu novo inimigo;à ses nouveaux ennemis;$DEFENDER$;Jego nowym wrogiem jest:;a su nuevo enemigo;al loro nuovo nemico;és így új ellenfelet szerzett a következõ személyében:;svým nepøátelùm;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_5;$DEFENDER$;$DEFENDER$.; den Krieg erklärt.;$DEFENDER$.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_LOG;$AGRESSOR$ declarou guerra a $DEFENDER$.;$AGRESSOR$ a déclaré la guerre à $DEFENDER$.;$AGRESSOR$ hat $DEFENDER$ den Krieg erklärt.;Pañstwo $AGRESSOR$ wypowiedzia³o wojnê pañstwu $DEFENDER$.;¡$AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ha dichiarato guerra a $DEFENDER$.;$AGRESSOR$ hadat üzent a következõnek: $DEFENDER$.;$AGRESSOR$ vyhlásil válku $DEFENDER$.;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
WAR_OTHER_ACCEPT_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,
WAR_OTHER_ACCEPT_BTN3;Ir para;Voir;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x;
DECLWAR_LIMITED;Esta guerra é uma guerra limitada.;Cette guerre est un conflit limité.;Dies ist ein eingeschränkter Krieg.;;Esta es una guerra limitada.;;;;;;;;;x;
WAR_THEY_ACCEPT_SETUP;Quando declaramos guerra a outra nação;Si nous déclarons la guerre à une autre nation;Wenn wir einem anderen Land den Krieg erklären;Kiedy wypowiadamy wojnê innemu pañstwu;Cuando declaramos la guerra a otra nación;Quando noi dichiariamo guerra a un'altra nazione;Mikor mi üzenünk hadat egy másik nemzetnek;Když my vyhlásíme válku jinému národu;;;;;;x;
WAR_THEY_ACCEPT_HEADER;O ministro das Relações Exteriores informa;Le ministre des Affaires étrangères indique :;Der Außenminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x;
WAR_THEY_ACCEPT_1;Nós declaramos guerra a;Nous avons déclaré la guerre à;Wir haben $DEFENDER$;$AGRESSOR$;Declaramos la guerra a ;Abbiamo dichiarato guerra a;Hadat üzentünk a következõnek:;Vyhlásili jsme válku;;;;;;x;
WAR_THEY_ACCEPT_2;$DEFENDER$;$DEFENDER$.;den Krieg erklärt.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x;
WAR_THEY_ACCEPT_3;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_THEY_ACCEPT_4;*;*;*;*;*;*;*;;;;;;;x;
WAR_THEY_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x;
WAR_THEY_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x;
WAR_THEY_ACCEPT_LOG;Nós declaramos guerra a $DEFENDER$.;Nous avons déclaré la guerre à $DEFENDER$.;Wir haben $DEFENDER$ den Krieg erklärt.;Wypowiedzieliœmy wojnê $DEFENDER$.;¡$AGRESSOR$ nos ha declarado la guerra!;Abbiamo dichiarato guerra a $DEFENDER$.;Hadad üzentünk a következõnek: $DEFENDER$.;Vyhlásili jsme válku $DEFENDER$.;;;;;;x;
WAR_THEY_ACCEPT_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WAR_THEY_ACCEPT_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WAR_THEY_ACCEPT_BTN3;Ir para;Voir;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x;
WAR_THEY_ACCEPT_MAP;GUERRA!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x;
LOSE_CORE_EFFECT_2;$WHO$ perdeu um core em $LOSE$.\n;$WHO$ perd le contrôle de $LOSE$.\n;$WHO$ verliert Kernprovinzanspruch auf $LOSE$.\n;;$WHO$ ha perdido un núcleo en $LOSE$.\n;;;;;;;;;x;
INFRA_LEVEL_HERE;Infraestrutura em §Y$VAL$%§W.;Infrastructure à §Y$VAL$%§W.;Infrastruktur in §Y$VAL$%§W.;;Infraestructuras en §Y$VAL$%§W.;;;;;;;;;x;
fascist_group;Partidos Fascistas;Partis fascistes;faschistischen Parteien;;Partidos fascistas;;;;;;;;;x;
conservative_group;Partidos Conservadores e Reacionários;Partis conservateurs & réactionnaires;konservativen & reaktionären Parteien;;Partidos conservadores y reaccionarios;;;;;;;;;x;
socialist_group;Partidos Socialistas e Comunistas;Partis socialistes & communistes;sozialistischen & kommunistischen Parteien;;Partidos socialistas y comunistas;;;;;;;;;x;
liberal_group;Partidos Liberais e Anarco-liberais;Partis libéraux & libéraux-anarchistes;liberalen & anarcho-liberalen Parteien;;Partidos liberales y anarcoliberales;;;;;;;;;x;
COALITION_WIN;Uma coalizão dos §Y$IDE$§W obteve $VAL$% dos votos e formarão a base do governo.;Une coalition de §Y$IDE$§W a obtenu $VAL$% du scrutin et formera la base du gouvernement.;Eine Koalition von §Y$IDE$§W erhielt $VAL$% der Stimmen und wird die Regierungsbasis bilden.;;Una coalición de §Y$IDE$§W ha obtenido el $VAL$% de los sufragios y formará la base del gobierno.;;;;;;;;;x;
COLONY_SUCCESS_SETUP;Quando nós começamos a colonização de uma província;Si nous réussissons à coloniser une province.;Wenn Erfolg mit der Kolonisation einer Provinz haben.;;Cuando conseguimos la colonización de una provincia;;;;;;;;;x;
COLONY_FAIL_SETUP;Quando não conseguimos colonizar uma província.;Si nous ne réussissons pas à coloniser une province.;Wenn wir mit der Kolonisation einer Provinz scheitern.;;Cuando no conseguimos colonizar una provincia;;;;;;;;;x;
TOPBAR_INC_SPEED;Aumentar a velocidade;Augmenter la vitesse;Geschwindigkeit erhöhen;;Aumentar la velocidad;;;;;;;;;x;
REMOVE_TOPBAR_DEC_SPEED;Aumentar a velocidade;Augmenter la vitesse;Geschwindigkeit erhöhen;;Aumentar la velocidad;;;;;;;;;x;
TOPBAR_CLOSE_OUTLINER;Fechar Outliner;Fermer l'aperçu;Outliner schließen;;Cerrar Outliner;;;;;;;;;x;
TOPBAR_OPEN_OUTLINER;Abrir Outliner;Ouvrir l'aperçu;Outliner öffnen;;Abrir Outliner;;;;;;;;;x;
SLOWEST_SPEED;Velocidade mínima;Vitesse la plus lente;langsamster Geschwindigkeit;;Velocidad mínima;;;;;;;;;x;
SLOW_SPEED;Velocidade lenta;Vitesse lente;langsamer Geschwindigkeit;;Velocidad lenta;;;;;;;;;x;
NORMAL_SPEED;Velocidade normal;Vitesse normale;normaler Geschwindigkeit;;Velocidad normal;;;;;;;;;x;
FAST_SPEED;Velocidade rápida;Vitesse rapide;schneller Geschwindigkeit;;Velocidad rápida;;;;;;;;;x;
FASTEST_SPEED;Velocidade máxima;Vitesse la plus rapide;schnellster Geschwindigkeit;;Velocidad máxima;;;;;;;;;x;
TOPBAR_DATE;Esta é a data atual.\n(clique para pausar);Il s'agit de la date du jour.\n(cliquer pour mettre en pause);Dies ist das aktuelle Datum.\n(zum Pausieren klicken);;Esta es la fecha actual.\n(Haz clic para detener);;;;;;;;;x;
TOPBAR_DATE_IS_PAUSED;Esta é a data atual.\n(clique para retomar o jogo);Il s'agit de la date du jour.\n(cliquer pour continuer);Dies ist das aktuelle Datum.\n(zum Weiterspielen klicken);;Esta es la fecha actual.\n(haz clic para reanudar partida);;;;;;;;;x;
TOPBAR_PAUSE_INDICATOR;O jogo está atualmente em pausa.;La partie est actuellement mise en pause.;Das Spiel ist momentan pausiert.;;La partida está actualmente detenida.;;;;;;;;;x;
TOPBAR_SPEED_INDICATOR;O jogo está rodando em §Y$SPEED$§W.;La partie évolue à §Y$SPEED$§W.;Das Spiel läuft mit §Y$SPEED$§W.;;La partida va a §Y$SPEED$§W.;;;;;;;;;x;
PLAYER_COUNTRY_TOPBAR_RANK;$NAME$ é um(a) §Y$RANK$§W.;$NAME$ est une §Y$RANK$§W.;$NAME$ ist ein §Y$RANK$§W.;;$NAME$ es un §Y$RANK$§W.;;;;;;;;;x;
HAS_TECH_SCHOOL;Atualmente §Y$TECH$§W.\n;Actuellement, §Y$TECH$§W.\n;Derzeit §Y$TECH$§W.\n;;Actualmente §$TECH$§W.\n;;;;;;;;;x;
HAS_NOT_TECH_SCHOOL;Não apoia §Y$TECH$§W.\n;Ne pas opter pour §Y$TECH$§W.\n;Folgt nicht: §Y$TECH$§W.\n;;No apoya §Y$TECH$§W.\n;;;;;;;;;x;
NEW_CORE_EFFECT_TAG;$TAG$ ganhará §Ytodos§W como core.\n;$TAG$ obtient un nouveau territoire clé.\n;$TAG$ erhält §Yall§W als Kernprovinz.\n;;$TAG$ ganará §Ytodo§W como núcleo.\n;;;;;;;;;x;
ANY_OWNED_LIMITED;Para qualquer província que seja\n;Pour toute province qui est\n;Für jede Provinz, die\n;;Para cualquier provincia que esté\n;;;;;;;;;x;
TECH_MINE_SIZE;Tamanho da mina;Taille de la mine;Minengröße;;Tamaño de la mina;;;;;;;;;x;
TECH_FARM_SIZE;Tamanho da fazenda;Taille de la ferme;Farmgröße;;Tamaño de la granja;;;;;;;;;x;
USA_absolute_monarchy;Reino de América;Royaume d'Amérique;Kingdom of America;;Reino de América;;;;;;;;;x;
USA_absolute_monarchy_ADJ;americana;Américain;Amerikanisch;;americana;;;;;;;;;x;
USA_hms_government;Reino de América;Royaume d'Amérique;Kingdom of America;;Reino de América;;;;;;;;;x;
USA_hms_government_ADJ;Americana;Américain;Amerikanisch;;americana;;;;;;;;;x;
USA_proletarian_dictatorship;República Popular Americana;République populaire d'Amérique;American People's Republic;;República del Pueblo Americano;;;;;;;;;x;
USA_proletarian_dictatorship_ADJ;Americana;Américain;Amerikanisch;;americana;;;;;;;;;x;
ENG_proletarian_dictatorship;A Comunidade dos Trabalhadores;Commonwealth des ouvriers;The Worker's Commonwealth;;La Commonwealth de los Trabajadores;;;;;;;;;x;
ENG_proletarian_dictatorship_ADJ;Britânica;Britannique;Britisch;;de Gran Bretaña;;;;;;;;;x;
BOH_democracy;República Checa;République tchèque;Tschechische Republik;;República Checa;;;;;;;;;x;
BOH_democracy_ADJ;Tcheca;Tchèque;Tschechisch;;checa;;;;;;;;;x;
TUR_democracy;Turquia;Turquie;Türkei;;Turquía;;;;;;;;;x;
TUR_democracy_ADJ;Turca;Turc;Türkisch;;turca;;;;;;;;;x;
KUK_democracy;Confederação do Danúbio;Confédération du Danube;Die Donau-Konföderation;;La Confederación del Danubio;;;;;;;;;x;
KUK_democracy_ADJ;Danubiana;Danubien;Donau-;;danubiana;;;;;;;;;x;
BAV_proletarian_dictatorship;República da Baviera;Räterepublik bavaroise;Bayerische Räterepublik;;República Autogestionada de Baviera;;;;;;;;;x;
RUS_proletarian_dictatorship;União Soviética;Union Soviétique;Sowjetunion;;Unión Soviética;;;;;;;;;x;
RUS_proletarian_dictatorship_ADJ;Soviética;Soviétique;Sowjetisch;;soviética;;;;;;;;;x;
NO_TECH_SELECTED;Nada Selecionado;Pas de sélection;Keine ausgewählt;;Nada seleccionado;;;;;;;;;x;
IS_CIVILIZED;é civilizado.;est civilisé.;ist zivilisiert.;;es civilizada.;;;;;;;;;x;
IS_NOT_CIVILIZED;NÃO é civilizado.;n'est PAS civilisé.;ist NICHT zivilisiert.;;NO es civilizada.;;;;;;;;;x;
IS_INDEP;NÃO está sob influência estrangeira.;n'est PAS sous influence étrangère.;steht NICHT unter ausländischem Einfluss.;;NO está bajo influencia extranjera.;;;;;;;;;x;
IS_NOT_INDEP;está sob influência estrangeira.;est sous influence étrangère.;steht unter ausländischem Einfluss.;;está bajo influencia extranjera.;;;;;;;;;x;
ELECTION_INFO_IN_GOV;Campanha Eleitoral em andamento;Campagne électorale en cours;Wahlkampf im Verlauf;;Campaña electoral en marcha;;;;;;;;;x;
REGIMENT_POP_NAME;$NUM$$ORDER$ $POP$ $TYPE$;$NUM$$ORDER$ $POP$ $TYPE$;$NUM$$ORDER$ $POP$ $TYPE$;;$NUM$$ORDER$ $POP$ $TYPE$;;;;;;;;;x;
REGIMENT_HOME_NAME;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;;$NUM$$ORDER$ $HOME$ $TYPE$;;;;;;;;;x;
SUBUNIT_POP;§Y$CULTURE$§W $TYPE$ de §Y$LOCATION$§W.;$TYPE$ §Y$CULTURE$§W provenant de §Y$LOCATION$§W.;§Y$CULTURE$§W $TYPE$ von §Y$LOCATION$§W.;;$TYPE$ §Y$CULTURE$§W de §Y$LOCATION$§W.;;;;;;;;;x;
army_tech_research_bonus;Pesquisa Tecnológica do Exército;Recherche en technologie militaire;Militärtechnologieforschung;;Investigación de tecnología del ejército;;;;;;;;;x;
commerce_tech_research_bonus;Pesquisa Tecnológica em Comércio;Recherche en technologie commerciale;Handelstechnologieforschung;;Investigación de tecnología de comercio;;;;;;;;;x;
culture_tech_research_bonus;Pesquisa Tecnológica em Cultura;Recherche en technologie culturelle;Kulturtechnologieforschung;;Investigación de tecnología de cultura;;;;;;;;;x;
industry_tech_research_bonus;Pesquisa Tecnológica em Industria;Recherche en technologie industrielle;Industrietechnologieforschung;;Investigación de tecnología de la industria;;;;;;;;;x;
navy_tech_research_bonus;Pesquisa Tecnológica da Marinha;Recherche en technologie navale;Marinetechnologieforschung;;Investigación de tecnología de la armada;;;;;;;;;x;
THERE_ARE_BACKING;§Y$VAL$§W da população quer essa reforma.;§Y$VAL$§W de la population veut cette réforme.;§Y$VAL$§W der Bevölkerung will diese Reform.;;El §Y$VAL$§W de la población quiere esta reforma.;;;;;;;;;x;
ORG_EXPLANATION_TT;Quanto maior essa porcentagem, mais forte será a revolta rebelde.;Plus ce pourcentage est élevé, plus le soulèvement rebelle se renforce.;Je höher dieser Prozentwert ist, desto stärker wird der Rebellenaufstand.;;Cuanto mayor sea este porcentaje, más virulenta será la rebelión.;;;;;;;;;x;
COLONIAL_MIGRATION_TECH;Migração Colonial;Migration coloniale;Kolonialabwanderung;;Emigración colonial;;;;;;;;;x;
COMBAT_WIDTH_TECH;Área do Combate;Aire de combat;Gefechtsbreite;;Anchura del combate;;;;;;;;;x;
PLURALITY_EXPLANATION;Pluralidade é o nível geral de consciência em seu país. As lembranças de vitórias e derrotas passadas em nome da liberdade lembram o seu povo do que poderia ser possível.;La pluralité correspond au niveau partagé de conscience nationale. Les souvenirs des victoires et défaites passées au nom de la liberté rappellent à notre peuple ce qui aurait pu arriver.;Die Pluralität ist das allgemeine Bewusstseinsniveau in Ihrem Land. Die Erinnerungen an vergangene Siege und Niederlagen im Namen der Freiheit erinnern Ihre Bevölkerung daran, was möglich sein könnte.;;La pluralidad es el nivel de conciencia compartida en nuestro país. Los recuerdos de las victorias y derrotas pasadas en nombre de la libertad recuerdan a nuestro pueblo lo que podría ser.;;;;;;;;;x;
REMOVE_REVANCHISM_EXPLANATION;Revanchismo é um termo usado desde a década de 1870 para descrever uma manifestação política da vontade de reverter as perdas territoriais sofridas por um país, muitas vezes depois de uma guerra ou de um movimento social.;Dérivé du terme revanche, le revanchisme correspond au désir de retrouver notre terre légitime. Notre peuple est prêt à de grands sacrifices pour y parvenir.;Revanchismus ist von dem französischen Wort für Rache abgeleitet und steht für das Verlangen nach der Rückkehr unseres rechtmäßigen Territoriums. Unser Volk ist bereit, dafür große Opfer zu bringen.;;Originario de la palabra francesa 'revenge', el revanchismo es el anhelo por recuperar la tierra que nos corresponde por derecho. Nuestra gente está dispuesta a hacer grandes sacrificios para recuperarla.;;;;;;;;;x;
GAIN_PROVINCE;Obtenção de §Y$WHERE$§W de §Y$WHO$§W.\n;Obtention de §Y$WHERE$§W de §Y$WHO$§W.\n;§Y$WHERE$§W muss §Y$WHO$§W abgerungen werden.\n;;Gana §Y$WHERE$§W de §Y$WHO$§W.\n;;;;;;;;;x;
build_kiel_canal_title;Construa o Canal de Kiel;Construire le canal de Kiel;Nord-Ostsee-Kanal bauen;;Construir el Canal de Kiel;;;;;;;;;x;
build_kiel_canal_desc;Construir um canal entre o Báltico e o Mar do Norte seria um tremendo benefício para os nossos navios, e estamos em condições de construir um em Kiel.;La construction d'un canal entre la Baltique et la mer du Nord apporterait un essor considérable à notre flotte et nous sommes en mesure de construire un tel canal à Kiel.;Der Bau eines Kanals zwischen der Ost- und Nordsee könnte eine Wohltat für unsere Schifffahrt sein. Wir sind nun in der Lage, von Kiel aus so einen Kanal zu bauen.;;La construcción de un canal entre el Báltico y el Mar del Norte supondría una gran ventaja para nuestra navegación. En estos momentos, podemos construir uno en Kiel.;;;;;;;;;x;
build_suez_canal_title;Construa o Canal de Suez;Construire le canal de Suez;Suezkanal bauen;;Construir el Canal de Suez;;;;;;;;;x;
