NEW_PARTY_AVAIL_HEADER;Novo partido político formado;Nouveau parti politique formé;Neue politische Partei gegründet;;Se ha formado un nuevo partido político;;;;;;;;;x;
NEW_PARTY_AVAIL_1;Um partido foi formado: $PARTY$;$PARTY$ a été formé;$PARTY$ wurde soeben gegründet;;Se ha formado un partido: $PARTY$;;;;;;;;;x;
NEW_PARTY_AVAIL_2;*;*;*;*;*;*;*;;;;;;;x;
NEW_PARTY_AVAIL_3;*;*;*;*;*;*;*;;;;;;;x;
NEW_PARTY_AVAIL_4;*;*;*;*;*;*;*;;;;;;;x;
NEW_PARTY_AVAIL_5;*;*;*;*;*;*;*;;;;;;;x;
NEW_PARTY_AVAIL_6;*;*;*;*;*;*;*;;;;;;;x;
NEW_PARTY_AVAIL_BTN1;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
NEW_PARTY_AVAIL_BTN2;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
NEW_PARTY_AVAIL_BTN3;Ir para;Voir;Goto;;Ir a;;;;;;;;;x;
NEW_PARTY_AVAIL_LOG;Novo partido político;Nouveau parti politique;Neue Partei gegründet: $PARTY$.;;Nuevo partido político;;;;;;;;;x;
PARTY_UNAVAIL_SETUP;Partido político foi dissolvido;Parti politique dissous;Partei aufgelöst;;Partido político desaparecido;;;;;;;;;x;
PARTY_UNAVAIL_HEADER;Partido político foi dissolvido;Parti politique dissous;Partei aufgelöst;;Partido político desaparecido;;;;;;;;;x;
PARTY_UNAVAIL_1;Um partido foi extinto: $PARTY$;$PARTY$ est à présent dissous;$PARTY$ wurde aufgelöst;;Ha desaparecido un partido político: $PARTY$;;;;;;;;;x;
PARTY_UNAVAIL_2;*;*;*;*;*;*;*;;;;;;;x;
PARTY_UNAVAIL_3;*;*;*;*;*;*;*;;;;;;;x;
PARTY_UNAVAIL_4;*;*;*;*;*;*;*;;;;;;;x;
PARTY_UNAVAIL_5;*;*;*;*;*;*;*;;;;;;;x;
PARTY_UNAVAIL_6;*;*;*;*;*;*;*;;;;;;;x;
PARTY_UNAVAIL_BTN1;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
PARTY_UNAVAIL_BTN2;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x
PARTY_UNAVAIL_BTN3;Ir para;Voir;Goto;;Ir a;;;;;;;;;x;
PARTY_UNAVAIL_LOG;Partido político agora indisponível;Parti politique désormais indisponible;Die Partei §Y$PARTY$§W wurde aufgelöst und existiert nicht länger.;;Ha desaparecido un partido político;;;;;;;;;x;
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;Dias de insolvência: §R$DAYS$§W;Jour d’insolvabilité : §R$DAYS$§W;Tage mit Verlusten: §R$DAYS$§W;;Días de insolvencia: §R$DAYS$§W;;;;;;;;;x;
EXPENSE_NO_AFFORD;Só podemos pagar §R$VAL$§W¤ das nossas despesas!;Nous ne pouvons nous acquitter que de §R$VAL$§W¤de nos dépenses !;Wir können nur §R$VAL$§W¤ unserer Ausgaben zahlen!;;¡Solo podemos pagar el §R$VAL$§W¤ de nuestros gastos!;;;;;;;;;x;
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;Dias de insolvência: §R$DAYS$§W;Jours d’insolvabilité : §R$DAYS$§W;Insolvenztage: §R$DAYS$§W;;Días de insolvencia: §R$DAYS$§W;;;;;;;;;x;
ENG_presidential_dictatorship;Grã Bretanha;Grande-Bretagne;Großbritannien;;Gran Bretaña;;;;;;;;x;;
EVTNAME16451;Ataque nas guarnições;Attaque des garnisons;Überfall auf Garnisonen;;Asalto contra las guarniciones;;;;;;;;;x;
EVTDESC16451;Durante os primeiros dias da Revolução Texana, as tropas texanas conseguiram invadir várias guarnições mexicanas. Isso proporcionou ao exército texano muito dinheiro e suprimentos necessários.;Aux premiers jours de la Révolution texane, les troupes du Texas ont réussi à renverser plusieurs garnisons mexicaines permettant ainsi à leur armée de disposer des fonds et ravitaillements nécessaires.;Während der ersten Tage der texanischen Revolution konnten texanische Truppen mehrere mexikanische Garnisonen überrennen. Dies brachte der texanischen Armee stark benötigte Gelder und Nachschubmaterial ein.;;Durante los primeros días de la Revolución Texana, las tropas de Texas pudieron destruir varias guarniciones mexicanas. Gracias a esto, el ejército texano obtuvo unos fondos y pertrechos de los que estaba muy necesitado.;;;;;;;x;;;
CB_ALLOWED_GUNBOAT;Forçar o reembolso da dívida;Forcer le remboursement de la dette;Schuldentilgung erzwingen;;Forzar pago de deuda;;;;;;;;x;;
po_gunboat;Reembolsar dívidas.;Rembourser les dettes;Schulden tilgen.;;Pagar deudas.;;;;;;;;x;;
IS_IN_DEFAULT_TO;É devedor do(a);Est débiteur de;ist im Zahlungsrückstand gegenüber;;Está en situación de incumplimiento de pagos con;;;;;;;;x;;
IS_NOT_IN_DEFAULT_TO;Não é devedor do(a);N’est pas débiteur de;ist nicht im Zahlungsrückstand gegenüber;;No está en situación de incumplimiento de pagos con;;;;;;;;x;;
gunboat;Pagar Dívidas;Rembourser les dettes;Schulden tilgen;;Pagar deudas;;;;;;;;x;;
gunboat_desc;Obrigue-os a retomar o pagamento de suas dívidas conosco.;Les forcer à reprendre le remboursement des dettes contractées envers nous.;Sie zwingen, ihre Schuldenrückzahlungen weiterzuführen.;;Obligarlos a reanudar el pago de sus deudas con nosotros.;;;;;;;;x;;
gunboat_setup;Vai forçá-los a honrar suas dívidas para nós.;Nous les forceront à honorer les dettes contractées envers nous.;Werden sie zwingen, uns ihre Schulden zurückzuzahlen.;;Los obligará a hacer frente a sus deudas con nosotros.;;;;;;;;x;;
gunboat_short;Pagar Dívidas;Rembourser les dettes;Schulden tilgen;;Pagar deudas;;;;;;;;x;;
EVTNAME70002;$FROMCOUNTRY$ vai à falência!;$FROMCOUNTRY$ a fait faillite !;$FROMCOUNTRY$ ist bankrott!;;¡$FROMCOUNTRY$ está en bancarrota!;;;;;;;;x;;
EVTDESC70002;$FROMCOUNTRY$ faliu e afirma que eles não nos devem nada! Devemos usar nosso poderio militar para proteger nossos investidores.;\n$FROMCOUNTRY$ a fait faillite et ils crient haut et fort qu’ils ne nous doivent rien !\nIl nous faut recourir à notre puissance militaire pour protéger nos investisseurs.;$FROMCOUNTRY$ ist bankrott und behauptet, sie schulden uns nichts! Wir müssen unsere Investoren mit unserer Militärmacht schützen.;;¡$FROMCOUNTRY$ ha declarado la bancarrota y afirma que no nos debe nada! Debemos usar nuestras fuerzas armadas para proteger los intereses de nuestros inversores.;;;;;;;;x;;
EVTOPTA70002;OK;Ils vont voir qui nous sommes;OK;;Aceptar;;;;;;;;x;;
USE_LEADER;Use o líder;Utiliser cet officier;Anführer verwenden;;Usar líder;;;;;;;;x;;
SHORTCUT;§WAtalho: §Y;§WRaccourci : §Y;§WTastenkürzel: §Y;;§WAtajo: §Y;;;;;;;;;x;
SM_SHORTCUT;Shortcut tooltip;Raccourci infobulle;Tastenkürzel Tooltipp;;Recuadro de texto de atajo;;;;;;;;x;;
TUR_proletarian_dictatorship_ADJ;Turco;Turc;Türkisch;;Turca;;;;;;;;;x;
move_capital_to_moscow_title;Volte para a Terceira Roma;Retourner à la Troisième Rome;Zurück zum Dritten Rom;;Volver a la tercera Roma;;;;;;;;x;;
move_capital_to_moscow_desc;A gloriosa São Petersburgo, a cidade de Pedro, o Grande, está desconfortavelmente perto da fronteira. Talvez seja prudente transferir nossa capital para Moscou, o Pervoprestolnaya, que os exércitos invasores podem achar mais difícil de alcançar...;La glorieuse Saint-Pétersbourg, ville de Pierre le Grand, est inconfortablement proche de la frontière. Il serait peut-être plus prudent de retransférer notre capitale à Moscou, la « Pervoprestolnaya », que les armées d’invasion auront plus de mal à rejoindre...;"Das famose St. Petersburg, Stadt Peter des Großen, liegt unangenehm nah an der Grenze. Vielleicht wäre es sinnvoll, unsere Hauptstadt zurück nach Moskau, der ""Perwoprestolnaja"", zu verlegen, das für einfallende Armeen schwerer zu erreichen ist ...";;"La gloriosa San Petersburgo, ciudad de Pedro el Grande, está incómodamente cerca de la frontera. Puede que sea prudente trasladar de nuevo la capital a Moscú, la ""Pervoprestolnaya"", mucho más difícil de alcanzar para los ejércitos enemigos...";;;;;;;;x;;
