UNIT_REBEL_HUNT_LOW_MORALE;§RExército tem moral muito baixo, e não vai caçar nenhum rebelde agora.§!;§RL'armée a un moral trop faible et ne peut pas chasser les rebelles maintenant.§!;§RDie Moral der Armee ist zu gering und sie wird momentan keine Rebellen jagen.§!;;;;;;;;;;;x
UNIT_REBEL_HUNT_NO_VALID;§ROs rebeldes inimigos foram detectados, mas nosso exército não os atacará, porque eles são fortes demais para nós ou não conseguirão encontrar um caminho seguro para chegar lá..§!;§RDes rebelles ont été détectés mais notre armée ne les attaquera pas parce qu'ils sont trop fort pour nous ou qu'on ne peut pas trouver un passage sûr pour aller vers eux.§!;§RFeindliche Rebellen wurden aufgespürt, aber unsere Armee weigert sich, sie anzugreifen, da sie viel zu stark für uns sind oder unsere Truppen keinen sicheren Weg zu ihnen finden konnten.§!;;;;;;;;;;;x
NOT_RELEASE_AT_WAR;§R(Não é possível libertar nações quando em guerra.)§W;§R(Il n'est pas possible de libérer des nations en temps de guerre.)§W;§R(Es ist nicht möglich, während eines Krieges Nationen zu entlassen.)§W;;;;;;;;x;;;
COLONY_SUCCESS_5;§Y$PRESTIGE$§! prestígio adquirido.;§Y$PRESTIGE$§! de prestige gagné.;§Y$PRESTIGE$§! Prestige gewonnen.;;;;;;;;;;;x
COLONY_SUCCESS_6;(Valor base §Y$BASE$§! x §Y$PROV$§! províncias.);(Valeur de base §Y$BASE$§! x §Y$PROV$§! provinces.);(Grundwert §Y$BASE$§! x §Y$PROV$§! Provinzen.);;;;;;;;;;;x
COUNTRY_PUPPETS_LIST;Fantoches:;Satellites : ;Marionetten:;;;;;;;;;;;x
POLL_ESTIMATED_ELECTION;Em uma eleição, estimamos o seguinte resultado.;En cas d'élection, nous nous attendons au résultat suivant.;In einer Wahl erwarten wir die folgenden Ergebnisse.;;;;;;;;x;;;
MODIFIER_MOVEMENT_COST;Custo de Movimento de Tropa;Coût du mouvement de troupe;Kosten der Truppenbewegung;;;;;;;;x;;;
SPEED_IMPACT_ON_CB;A velocidade de geração foi alterada em §Y$VAL$§W.;La vitesse de génération change de §Y$VAL$§W.;Die Geschwindigkeit der Generationen hat sich um §Y$VAL$§W geändert.;;;;;;;;x;;;
TERR_COMB_WIDTH_DEC;A área de combate é reduzida em §Y$VAL$§W% neste terreno.;L'ampleur du combat est réduite de §Y$VAL$§W % sur ce terrain.;Die Angriffsweite für dieses Terrain ist um §Y$VAL$§W% reduziert.;;;;;;;;x;;;
MODIFIER_BOOST_STRONGEST_PARTY;Força do Partido Mais Forte;Force du plus fort parti;Stärke der stärksten Partei;;;;;;;;x;;;
PEACEDEMANDDESC;$COUNTRY$ está exigindo paz nos seguintes termos:;$COUNTRY$ demande la paix selon les termes suivants :;$COUNTRY$ verlangt Frieden unter den folgenden Bedingungen:;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_SETUP;Quando nosso processo de justificação de guerra não é mais válido.;Quand notre justification de guerre n'est plus valide.;Sobald unser Prozess der Kriegsrechtfertigung nicht länger gültig ist.;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_HEADER;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_1;Justificativa de Guerra;Casus Belli;Kriegsrechtfertigung;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_2;Nossa tentativa de justificar a guerra usando o ;Notre tentative de justifier la guerre par le;Unser Versuch, den Krieg zu rechtfertigen mittels;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_3;Casus Belli §Y$CASUS$§! ;Casus Belli §Y$CASUS$§!;§Y$CASUS$§! Casus Belli;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_4;contra;contre;gegen;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_5;$TARGET$;$TARGET$;$TARGET$;;$TARGET$;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_6;não é mais válido!;n'est plus valide !;ist nicht länger gültig!;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_LOG;Nosso processo de justificativa de guerra contra o $TARGET$ não é mais válido.;La justification de notre guerre contre $TARGET$ n'est plus valide.;Unser Prozess der Kriegsrechtfertigung gegenüber $TARGET$ ist nicht länger gültig.;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_BTN1;OK;D'accord;OK;OK;OK;OK;Rendben;OK;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_BTN2;OK;D'accord;OK;OK;OK;OK;Rendben;OK;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_BTN3;Ir para;Voir;Gehe zu;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_MAP;*;*;*;*;*;*;*;;;;;;;x
NO_ALLOWED_COUNTRIES;(Nenhum país aplicável).;(Pas de pays applicable).;(Es gibt kein geeignetes Land).;;;;;;;;;;;x
NO_ALLOWED_STATES;(Não há estados aplicáveis).;(Pas d'État applicable).;(Es gibt keine geeigneten Staaten).;;;;;;;;;;;x
HAS_LESS_STATE_THAN;Número de estados < ;Nombre d'États <;besitzt eine Staatsanzahl von <;;;;;;;;;;;x
HAS_STATES_GREATER_EQ;Número de estados >= ;Nombre d'États >= ;besitzt eine Staatsanzahl von >=;;;;;;;;;;;x
HAVE_MORE_SUBSTATES_THEN;Tem mais subestados do que;Nombre de sous-états supérieur à ;Besitze mehr Unterstaaten als;;;;;;;;;;;x
HAVE_LESS_SUBSTATES_THEN;Tem menos subestados do que;Nombre de sous-états inférieur à ;Besitze weniger Unterstaaten als;;;;;;;;;;;x
HAVE_MORE_VASSALS_THAN;Tem mais fantoches do que;Nous avons plus de satellites que ;Besitze mehr Marionetten als;;;;;;;;;;;x
HAS_UNION_TAG;tem união cultural;a la culture syndicale;besitzt kulturelle Unionen;;;;;;;;;;;x
HAS_NO_UNION_TAG;não tem união cultural;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;x
HAS_CULTURE_UNION;Tem união de cultura;A la culture syndicale;Besitzt kulturelle Unionen;;;;;;;;;;;x
HAS_NOT_CULTURE_UNION;NÃO tem união cultural;N'a pas de culture syndicale;Besitzt KEINE kulturellen Unionen;;;;;;;;;;;x
IS_STATE_CAPITAL;é capital do estado;est la capitale de l'État;ist Landeshauptstadt;;;;;;;;;;;x
IS_NOT_STATE_CAPITAL;NÃO é capital do estado;n'est pas la capitale de l'État;ist KEINE Landeshauptstadt;;;;;;;;;;;x
SUBSIDIZE_ALL_TOOLTIP;Subsidiar todas as fábricas na lista.;Subventionner toutes les usines de la liste.;Alle Fabrikanlagen von dieser Liste werden bezuschusst.;;;;;;;;;;;x
UNSUBSIDIZE_ALL_TOOLTIP;Cancelar subsídios para todas as fábricas da lista.;Annuler les subventions pour toutes les usines de la liste.;Bezuschussung aller Fabrikanlagen von dieser Liste abbrechen.;;;;;;;;;;;x
OPEN_ALL_TOOLTIP;Abra todas as fábricas na lista.;Ouvrir toutes les usines de la liste.;Alle Fabrikanlagen von dieser Liste öffnen.;;;;;;;;;;;x
CLOSE_ALL_TOOLTIP;Feche todas as fábricas na lista.;Fermer toutes les usines de la liste.;Alle Fabrikanlagen von dieser Liste schließen.;;;;;;;;;;;x
ON_ENACT_UNCIV_REFORM;Quando foi promulgado:;Lorsqu'elle a été promulguée :;Sobald beschlossen:;;;;;;;;;;;x
EFFECT_BUILD_IN_CAPITAL_DESC;§Y$BLD$§! a construção ocorrerá em: §Y$PROVS$§!;§Y$BLD$§! constructions sont prévues en §Y$PROVS$§!;§Y$BLD$§! Bau wird in: §Y$PROVS$§! beginnen;;;;;;;;;;;x
TRIGGER_BUILD_IN_CAPITAL_DESC;§RConstrução não é permitida por enquanto.§!;§RLa construction n'est pas autorisée pour le moment.§!;§RBau ist derzeit nicht gestattet.§!;;;;;;;;;;;x
DIPLOMACY_CB_INFO;Justificativa de Guerra;Casus Belli;Kriegsrechtfertigung;;;;;;;;;;;x
COLONIZE_MAX_SLOTS;Não mais que §Y$NUM$§! países podem competir pela colonização da província.;Pas plus de §Y$NUM$§! pays peuvent être en concurrencer pour la colonisation de la province.;Es können nicht mehr als §Y$NUM$§! Länder um die Kolonisierung einer Provinz kämpfen.;;;;;;;;;;;x
RIGHT_CLICK_TO_REMOVE_NF;§YRight mouse click§! para remover o foco atual.;§YClic droit§! pour supprimer la cause nationale actuelle;§YRechte Maustaste klicken§!, um den gegenwärtigen Fokus zu entfernen. ;;;;;;;;;;;x
CONFIRM_REMOVE_COLONY_NF_TITLE;Remover o foco nacional da colonização;Supprimer la cause nationale de colonisation;Den nationalen Fokus der Kolonisierung entfernen ;;;;;;;;;;;x
CONFIRM_REMOVE_COLONY_NF_DESC;Seu progresso de colonização será perdido. Você quer remover o foco nacional?;La progression de votre colonisation va être perdue. Voulez-vous supprimer la cause nationale ?;Euer Kolonisierungs-Prozess wird verloren gehen. Möchtet Ihr den nationalen Fokus entfernen?;;;;;;;;;;;x
CB_ALLOWED_INSTALL_COMMUNIST_GOV_TYPE;Instale o governo comunista;Installer un gouvernement communiste;Kommunistische Regierung einsetzen;;;;;;;;;;;x
po_install_communist_gov_type;Instale o governo comunista;Installer un gouvernement communiste;Kommunistische Regierung einsetzen;;;;;;;;;;x;
install_communist_gov_cb;Instale o comunismo;Installer le Communisme;Kommunismus einsetzen;;;;;;;;;;;x
install_communist_gov_cb_desc;Instale o governo comunista.;Installer le gouvernement communiste.;Setzt die kommunistische Regierung ein.;;;;;;;;;;;x
install_communist_gov_cb_setup;Instale o governo comunista. Se alcançado, o país será automaticamente adicionado em nossa esfera.;Installer le gouvernement communiste. En cas de réussite, le pays sera automatiquement ajouté à notre sphère d'influence.;Setzt die kommunistische Regierung ein. Sobald dies erreicht wurde, wird das Land automatisch unserer Sphäre zugefügt. ;;;;;;;;;;;x
install_communist_gov_cb_short;Instale o comunismo;Installer le Communisme;Kommunismus einsetzen;;;;;;;;;;;x
CB_ALLOWED_UNINSTALL_COMMUNIST_GOV_TYPE;Revogar o governo comunista;Révoquer le gouvernement communiste;Kommunistische Regierung absetzen;;;;;;;;;;;x
po_uninstall_communist_gov_type;Revogar o governo comunista;Révoquer le gouvernement communiste;Kommunistische Regierung absetzen;;;;;;;;;;x;
uninstall_communist_gov_cb;Revogar o comunismo;Révoquer le Communisme;Kommunismus absetzen;;;;;;;;;;;x
uninstall_communist_gov_cb_desc;Revogue o governo comunista.;Révoquer le gouvernement communiste.;Die kommunistische Regierung absetzen.;;;;;;;;;;;x
uninstall_communist_gov_cb_setup;Revogue o governo comunista.;Révoquer le gouvernement communiste.;Die kommunistische Regierung absetzen.;;;;;;;;;;;x
uninstall_communist_gov_cb_short;Revogue o comunismo.;Révoquer le Communisme.;Kommunismus absetzen;;;;;;;;;;;x
NF_OVERWRITE_HEADER;Para definir o novo foco nacional §Y$NF$§! você deve remover outro.;Pour adopter la nouvelle cause nationale §Y$NF$§! vous devez en supprimer une autre.;Um den neuen nationalen Fokus auf §Y$NF$§! setzen zu können, müsst Ihr einen anderen entfernen. ;;;;;;;;;;;x
NF_OVERWRITE_ENTRY;§Y$NF$§!\nin §G$STATE$§!;§Y$NF$§!\nen §G$STATE$§!;§Y$NF$§!\nin §G$STATE$§!;;;;;;;;;;;x
PRESTIGE_MORALE_BONUS;Bônus de Moral: §Y$VAL$§!;Bonus du moral : §Y$VAL$§!;Moral-Bonus: §Y$VAL$§!;;;;;;;;;;;x
PRESTIGE_MAX_ORG_BONUS;Bônus de organização: §Y$VAL$§!;Bonus pour l''organisation : §Y$VAL$§!;Organizationsbonus: §Y$VAL$§!;;;;;;;;;;;x
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_TITLE;Penalidade de prestígio.;Pénalité de prestige.;Prestige-Strafe.;;;;;;;;;;;x
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_DESC;Nosso país sofrerá §R$VAL$§! de perda de prestígio, se desmarcarmos o líder atual §Y$NAME$§! daquela unidade, enquanto estiver em guerra.\nVocê ainda quer fazer isso?;Notre pays perdra §R$VAL$§! de prestige si nous retirons le commandant actuel §Y$NAME$§! de cette unité en temps la guerre.\nVoulez-vous vraiment le faire ?;Unser Land wird einen Prestige-Verlust von §R$VAL$§! erleiden, wenn wir den derzeitigen Führer §Y$NAME$§! dieser Einheit während des Krieges entfernen.\nMöchtet Ihr dennoch fortfahren?;;;;;;;;;;;x
REORG_PANEL_BALANCE_UNITS;Equilíbrio;Équilibre;Guthaben;;;;;;;;;;;x
INVEST_PROJECT_NOT_ENOUGH_MONEY;§RNós não temos fundos suficientes para fazer isso.§!;§RNous n'avons pas assez de fonds pour ça.§!;§RWir haben keine ausreichenden Mittel, um dies zu tun.§!;;;;;;;;;;;x
INVEST_PROJECT_SHORTCUT_MAX;§RCtrl + Left mouse click§! para investir a qtd. máxima neste projeto. (§Y$AMOUNT$§!¤);§RCtrl + Clic gauche§! pour investir le montant maximum dans ce projet (§Y$AMOUNT$§! ¤);§RCtrl + Linke Maustaste klicken§!, um die maximale Summe in dieses Projekt zu investieren. (§Y$AMOUNT$§!¤);;;;;;;;;;;x
INVEST_PROJECT_SHORTCUT_MAX_ALL;§RShift + Left mouse click§! para investir o valor máximo em todos os projetos. (§Y$AMOUNT$§!¤);§RMaj + Clic gauche§! pour investir le montant maximum dans tous les projets (§Y$AMOUNT$§! ¤);§RShift + Linke Maustaste klicken§!, um die maximale Summe in alle Projekte zu investieren. (§Y$AMOUNT$§!¤);;;;;;;;;;;x
INVEST_PROJECT_CONFIRM;Investir;Investissement;Investieren;;;;;;;;;;;x
INVEST_PROJECT_MAX;Máximo;Maximum;Max.;;;;;;;;;;;x
INVEST_PROJECT_TITLE;"Invista no projeto: ""§Y$PROJ$§!"" para §Y$LOC$§!";"Investir dans le projet : """"§Y$PROJ$§!"""" à §Y$LOC$§!";"In dieses Projekt investieren: ""§Y$PROJ$§!"" bei §Y$LOC$§!";;;;;;;;;;;x
INVEST_PROJECT_TOOLTIP_YOUR_BUDGET;Seu orçamento atual.;Votre budget actuel.;Euer derzeitiges Budget.;;;;;;;;;;;x
INVEST_PROJECT_TOOLTIP_PROJECT_BUDGET;Orçamento do projeto é §Y$BUD$§! de §Y$TOT$§! necessário.\nVocê decidiu investir §Y$INV$§! para este projeto.;Le budget du projet est §Y$BUD$§! sur les §Y$TOT$§! nécessaires.\nVous décidez d'investir  §Y$INV$§! dans ce projet.;Projektbudget beträgt §Y$BUD$§! von §Y$TOT$§! benötigt.\nIhr entscheidet euch dazu, §Y$INV$§! in dieses Projekt zu investieren.;;;;;;;;;;;x
INVEST_PROJECT_TOOLTIP_APPLY;Aplique seu investimento.;Appliquer votre investissement.;Eure Investierung abschließen.;;;;;;;;;;;x
MIL_MULTI_CONSTRUCTION_TOOLTIP;§YLeft click + SHIFT§! para construir tudo.;§YClic gauche + Maj§! pour tout construire.;§YLinksklick + SHIFT§!, um alles zu bauen.;;;;;;;;;;;x
MIL_CONSTRUCTION_CANCEL_ALL_SHORT;Cancelar tudo;Tout annuler;Alles abbrechen;;;;;;;;;;;x
MIL_CONSTRUCTION_CANCEL_ALL;Cancelar todas as construções;Annuler toutes les constructions;Alle Errichtungen abbrechen;;;;;;;;;;;x
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_TITLE;Cancele todas as construções.;Annuler toutes les constructions.;Alle Errichtungen abbrechen.;;;;;;;;;;;x
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_DESC;Tem certeza de que deseja cancelar todas as construções militares?;Êtes-vous certain de vouloir annuler toutes nos constructions militaires ?;Seid Ihr Euch sicher, dass Ihr alle militärischen Errichtungen abbrechen möchtet?;;;;;;;;;;;x
SORT_BY_PRESTIGE;Ordenar por prestígio;Tri par prestige;Nach Prestige sortieren;;;;;;;;;;;x
SORT_BY_NAME;Ordenar por nome;Tri par nom;Nach Namen sortieren;;;;;;;;;;;x
SORT_BY_SELECTED;Ordenar por selecionados;Tri par sélections;Nach Auswahl sortieren;;;;;;;;;;;x
ATTACKUSREBEL_SETUP;Quando uma das nossas unidades terrestres é atacada pelos rebeldes;Quand une de nos unités terrestres subit une attaque des rebelles;Sobald eine unserer Ländereinheiten von den Rebellen angegriffen wird;;;;;;;;;;x;
ATTACKUSREBEL_HEADER;Nosso Chefe de Gabinete relata que;Notre chef d'état-major rapporte que;Unser Stabschef berichtet:;;Nuestro jefe de estado mayor informa de que;;;;;;;;;x
ATTACKUSREBEL_1;Nossas forças estão sob ataque!;Nos forces sont attaquées !;Unsere Truppen werden angegriffen!;;¡Están atacando a nuestras fuerzas!;;;;;;;;;x
ATTACKUSREBEL_2;$MONARCHTITLE$, nós fomos atacados em;$MONARCHTITLE$, nous avons été attaqués dans la province de;$MONARCHTITLE$, wir werden in;;$MONARCHTITLE$, hemos sido atacados en;;;;;;;;;x
ATTACKUSREBEL_3;$PROV$.;$PROV$.;$PROV$ angegriffen.;;$PROV$.;;;;;;;;;x
ATTACKUSREBEL_4;Forças hostis de $ATTACKER$ engajaram a luta contra nós.;Les forces ennemies de $ATTACKER$ ont engagé le combat contre nous.;Feindliche Truppen von $ATTACKER$ greifen uns an.;;Fuerzas hostiles de $ATTACKER$ han entablado combate con nosotros con;;;;;;;;;x
ATTACKUSREBEL_5;*;*;*;;*;;;;;;;;;x
ATTACKUSREBEL_6;*;*;*;;*;;;;;;;;;x
ATTACKUSREBEL_LOG;Nós fomos atacados em $PROV$.;Nous avons été attaqués dans la province de $PROV$.;Wir wurden in $PROV$ angegriffen.;;Hemos sido atacados en $PROV$.;;;;;;;;;x
ATTACKUSREBEL_BTN1;OK;D'accord;OK;;Aceptar;;;;;;;;;x
ATTACKUSREBEL_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;x
ATTACKUSREBEL_BTN3;Ir para;Voir;Gehe zu;;Ir allí;;;;;;;;;x
ATTACKUSREBEL_MAP;Sob ataque!;Nous sommes attaqués !;Wird angegriffen;;¡Nos atacan!;;;;;;;;;x
ATTACKTHEMREBEL_SETUP;Quando uma das nossas unidades de terra ataca a rebelião.;Quand une de nos unités terrestres attaque la rébellion;Sobald eine unserer Ländereinheiten die Rebellen angreift.;;;;;;;;;;;x
ATTACKTHEMREBEL_HEADER;Nosso Chefe de Gabinete relata que;Notre chef d'état-major rapporte que;Unser Stabschef berichtet:;;Nuestro jefe de estado mayor informa de que;;;;;;;;;x
ATTACKTHEMREBEL_1;Nós atacamos o Inimigo!;nous avons attaqué l'ennemi !;Aufeinandertreffen mit dem Feind!;;¡Hemos entablado combate con el enemigo!;;;;;;;;;x
ATTACKTHEMREBEL_2;$MONARCHTITLE$, temos relatos de que a batalha começou em;$MONARCHTITLE$, nous vous informons que la bataille a commencé dans la province de;Uns wird gemeldet, dass eine Schlacht in;;$MONARCHTITLE$, nos informan que ha comenzado la batalla en;;;;;;;;;x
ATTACKTHEMREBEL_3;$PROV$.;$PROV$.;$PROV$ begonnen hat.;;$PROV$.;;;;;;;;;x
ATTACKTHEMREBEL_4;Estamos atacando forças de $DEFENDER$ e tentando desalojar suas defesas. Nos engajamos com;Nous sommes les forces d'attaque de $DEFENDER$ et nous tentons de déloger leurs défenses. Nous avons engagé le combat avec ;Wir greifen Truppen aus $DEFENDER$ an und versuchen, sie aus ihren Stellungen zu werfen. Wir befinden uns im Kampf mit;;Atacamos a la fuerza $DEFENDER$, en un intento de desbaratar sus defensas. Hemos entablado ;;;;;;;;;x
ATTACKTHEMREBEL_5;*;$ATTUNIT$\n;*;;combate con: $ATTUNIT$\n;;;;;;;;;x
ATTACKTHEMREBEL_6;*;*;*;;atacando a: $DEFUNIT$;;;;;;;;;x
ATTACKTHEMREBEL_LOG;Nós atacamos o inimigo em $PROV$.;Nous avons attaqué l'ennemi dans la province de $PROV$.;Wir haben den Feind in $PROV$ angegriffen.;;Hemos atacado al enemigo en $PROV$.;;;;;;;;;x
ATTACKTHEMREBEL_BTN1;OK;D'accord;OK;;Aceptar;;;;;;;;;x
ATTACKTHEMREBEL_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;x
ATTACKTHEMREBEL_BTN3;Ir para;Voir;Gehe zu;;Ir allí;;;;;;;;;x
ATTACKTHEMREBEL_MAP;Ataque iniciado;*;*;;*;;;;;;;;;x
SIEGEUSREBEL_SETUP;Quando os rebeldes ocupam nossa província;Quand les rebelles occupent notre province;Sobald die Rebellen damit beginnen, unsere Provinzen einzunehmen.;;;;;;;;;;;x
SIEGEUSREBEL_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;;$MESSENGER$;;;;;;;;;x
SIEGEUSREBEL_1;Nossa Província está começando a ser ocupada;L'occupation de notre province commence;Unsere Provinz befindet sich unter Belagerung;;Están empezando a ocupar nuestra provincia;;;;;;;;;x
SIEGEUSREBEL_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$;;$MONARCHTITLE$,;;;;;;;;;x
SIEGEUSREBEL_3;$PROV$;$PROV$;$PROV$;;han empezado a ocupar;;;;;;;;;x
SIEGEUSREBEL_4;está começando a ser ocupada. Não tenha medo! As forças do(a);est occupée. Ne craignez rien ! Les forces de;wird gerade vom Feind belagert. Doch fürchtet nichts!\nDie Truppen von;;$PROV$. ¡No hay nada que temer! Las fuerzas de;;;;;;;;;x
SIEGEUSREBEL_5;$ATTACKER$;$ATTACKER$;$ATTACKER$;;$ATTACKER$;;;;;;;;;x
SIEGEUSREBEL_6;em breve serão expulsos pela força de nossos exércitos.;seront bientôt repoussées par nos puissantes armées.;werden schon bald von der Macht unserer Armeen vertrieben werden.;;pronto serán expulsadas por el poder de nuestros ejércitos.;;;;;;;;;x
SIEGEUSREBEL_LOG;$PROV$ está começando a ser ocupada.;$PROV$ est occupée.;$PROV$ wird gerade vom Feind belagert.;;Han empezado a ocupar $PROV$.;;;;;;;;;x
SIEGEUSREBEL_BTN1;OK;D'accord;OK;;OK;;;;;;;;;x
SIEGEUSREBEL_BTN2;OK;D'accord;OK;;OK;;;;;;;;;x
SIEGEUSREBEL_BTN3;Ir para;Voir;Gehe zu;;Ir allí;;;;;;;;;x
SIEGEUSREBEL_MAP;*;*;*;;*;;;;;;;;;x
SIEGETHEMREBEL_SETUP;Quando começamos a ocupar a província controlada pela rebelião.;Quand nous occupons une province ennemie;Sobald wir beginnen, eine von den Rebellen kontrollierte Provinz zu besetzen.;;Cuando empezamos a ocupar una de las provincias de nuestro enemigo;;;;;;;;;x
