Ideology;Ideologia;Idéologie;Ideologie;;;;;;;;;;;x
SELL;VENDER;VENDRE;VERKAUFE;;;;;;;;;;;x
BUY;COMPRAR;ACHETER;KAUFE;;;;;;;;;;;x
Start Research;Iniciar Pesquisa;Commencer la recherche;Beginne Forschung;;;;;;;;;;;x
Maneuver;Manobra;Manœuvre;Manöver;;;;;;;;;;;x
LEDGER;ESTATÍSTICAS;STATISTIQUES;Statistiken;;;;;;;;;;;x
OK;OK;D'accord;OK;;;;;;;;;;;x
TOPBAR_POPULATION;Nossa população masculina adulta é de $CURR$. Nossa população masculina adulta mudou em $CHANGE$ nos últimos §Y$DAYS$§! dias.;Notre population masculine adulte s'élève à $CURR$.\nNotre population masculine a évolué de $CHANGE$ adultes ces §Y$DAYS$§! derniers jours.;Unsere erwachsene männliche Bevölkerung beträgt $CURR$. Unsere erwachsene männliche Bevölkerung hat sich um $CHANGE$ in den letzten §y$DAYS$§! Tagen geändert.;;;;;;;;;;;x
DIG_IN_TOOLTIP_1;Nível de escavação atual: $LEV$/$MAX$.;Niveau de retranchement actuel : $LEV$/$MAX$.;Aktueller Verschanzungsbonus: $LEV$/$MAX$.;;;;;;;;;;;x
DIG_IN_TOOLTIP_2;Leva §Y$DAYS$§! dias para aumentar o nível de escavação por §G+$VAL$§!.;Il faut §Y$DAYS$§! jours pour augmenter le niveau de retranchement de §G+$VAL$§! .;Es dauert §Y$DAYS$§! Tage um den Verschanzungsbonus um §G+$VAL$§! zu erhöhen.;;;;;;;;;;;x
in_bankrupcy;Falência;En faillite;In Insolvenz;;;;;;;;;;;x
in_bankrupcy_desc;Estamos falidos!;Nous sommes en faillite !;Wir sind zahlungsunfähig!;;;;;;;;;;;x
